dataset,seed,method,pruning_ratio,fine_tuning,quantization,accuracy,std,model_size_mb,latency_ms,peak_memory_mb
PlantVillage,123,baseline,,False,False,99.85,0.023,327.4,,
PlantVillage,2026,baseline,,False,False,99.85,0.023,327.4,,
PlantVillage,42,baseline,,False,False,99.89,0.023,327.4,,
PlantVillage,123,prune_25pct,0.25,False,False,2.22,0.513,327.4,,
PlantVillage,2026,prune_25pct,0.25,False,False,2.13,0.513,327.4,,
PlantVillage,42,prune_25pct,0.25,False,False,1.29,0.513,327.4,,
PlantVillage,123,prune_50pct,0.5,False,False,3.29,0.375,327.4,,
PlantVillage,2026,prune_50pct,0.5,False,False,2.69,0.375,327.4,,
PlantVillage,42,prune_50pct,0.5,False,False,3.38,0.375,327.4,,
PlantVillage,123,prune_75pct,0.75,False,False,2.6,0.356,327.4,,
PlantVillage,2026,prune_75pct,0.75,False,False,3.31,0.356,327.4,,
PlantVillage,42,prune_75pct,0.75,False,False,3.0,0.356,327.4,,
PlantVillage,123,prune_25pct_ft5ep,0.25,True,False,99.82,0.046,327.4,,
PlantVillage,2026,prune_25pct_ft5ep,0.25,True,False,99.85,0.046,327.4,,
PlantVillage,42,prune_25pct_ft5ep,0.25,True,False,99.91,0.046,327.4,,
PlantVillage,123,prune_50pct_ft5ep,0.5,True,False,99.86,0.049,327.4,,
PlantVillage,2026,prune_50pct_ft5ep,0.5,True,False,99.85,0.049,327.4,,
PlantVillage,42,prune_50pct_ft5ep,0.5,True,False,99.77,0.049,327.4,,
PlantVillage,123,prune_75pct_ft5ep,0.75,True,False,99.79,0.029,327.4,,
PlantVillage,2026,prune_75pct_ft5ep,0.75,True,False,99.79,0.029,327.4,,
PlantVillage,42,prune_75pct_ft5ep,0.75,True,False,99.74,0.029,327.4,,
PlantDoc,123,baseline,,False,False,75.8,1.391,327.4,,
PlantDoc,2026,baseline,,False,False,73.02,1.391,327.4,,
PlantDoc,42,baseline,,False,False,74.3,1.391,327.4,,
PlantDoc,123,prune_25pct,0.25,False,False,4.28,1.219,327.4,,
PlantDoc,2026,prune_25pct,0.25,False,False,4.93,1.219,327.4,,
PlantDoc,42,prune_25pct,0.25,False,False,2.57,1.219,327.4,,
PlantDoc,123,prune_50pct,0.5,False,False,2.78,0.127,327.4,,
PlantDoc,2026,prune_50pct,0.5,False,False,2.78,0.127,327.4,,
PlantDoc,42,prune_50pct,0.5,False,False,3.0,0.127,327.4,,
PlantDoc,123,prune_75pct,0.75,False,False,2.57,1.456,327.4,,
PlantDoc,2026,prune_75pct,0.75,False,False,3.21,1.456,327.4,,
PlantDoc,42,prune_75pct,0.75,False,False,5.35,1.456,327.4,,
PlantDoc,123,prune_25pct_ft5ep,0.25,True,False,68.95,1.177,327.4,,
PlantDoc,2026,prune_25pct_ft5ep,0.25,True,False,70.02,1.177,327.4,,
PlantDoc,42,prune_25pct_ft5ep,0.25,True,False,67.67,1.177,327.4,,
PlantDoc,123,prune_50pct_ft5ep,0.5,True,False,56.1,2.527,327.4,,
PlantDoc,2026,prune_50pct_ft5ep,0.5,True,False,61.03,2.527,327.4,,
PlantDoc,42,prune_50pct_ft5ep,0.5,True,False,59.53,2.527,327.4,,
PlantDoc,123,prune_75pct_ft5ep,0.75,True,False,49.89,1.285,327.4,,
PlantDoc,2026,prune_75pct_ft5ep,0.75,True,False,51.18,1.285,327.4,,
PlantDoc,42,prune_75pct_ft5ep,0.75,True,False,48.61,1.285,327.4,,
PlantVillage,123,prune_25pct_headkeep_noft,0.25,no_ft,False,98.46,0.066,327.4,,
PlantVillage,2026,prune_25pct_headkeep_noft,0.25,no_ft,False,98.51,0.066,327.4,,
PlantVillage,42,prune_25pct_headkeep_noft,0.25,no_ft,False,98.38,0.066,327.4,,
PlantVillage,123,prune_50pct_headkeep_noft,0.5,no_ft,False,74.77,5.355,327.4,,
PlantVillage,2026,prune_50pct_headkeep_noft,0.5,no_ft,False,73.66,5.355,327.4,,
PlantVillage,42,prune_50pct_headkeep_noft,0.5,no_ft,False,64.99,5.355,327.4,,
PlantVillage,123,prune_75pct_headkeep_noft,0.75,no_ft,False,7.91,3.509,327.4,,
PlantVillage,2026,prune_75pct_headkeep_noft,0.75,no_ft,False,12.59,3.509,327.4,,
PlantVillage,42,prune_75pct_headkeep_noft,0.75,no_ft,False,5.72,3.509,327.4,,
PlantDoc,123,prune_25pct_headkeep_noft,0.25,no_ft,False,54.6,1.515,327.4,,
PlantDoc,2026,prune_25pct_headkeep_noft,0.25,no_ft,False,52.68,1.515,327.4,,
PlantDoc,42,prune_25pct_headkeep_noft,0.25,no_ft,False,51.61,1.515,327.4,,
PlantDoc,123,prune_50pct_headkeep_noft,0.5,no_ft,False,20.99,1.338,327.4,,
PlantDoc,2026,prune_50pct_headkeep_noft,0.5,no_ft,False,19.06,1.338,327.4,,
PlantDoc,42,prune_50pct_headkeep_noft,0.5,no_ft,False,18.42,1.338,327.4,,
PlantDoc,123,prune_75pct_headkeep_noft,0.75,no_ft,False,3.64,1.363,327.4,,
PlantDoc,2026,prune_75pct_headkeep_noft,0.75,no_ft,False,6.0,1.363,327.4,,
PlantDoc,42,prune_75pct_headkeep_noft,0.75,no_ft,False,3.64,1.363,327.4,,
PlantVillage,42,baseline_int8,,False,True,99.89,,83.7,,
PlantVillage,42,prune_25pct_int8,0.25,True,True,3.18,,83.7,,
PlantVillage,42,prune_25pct_ft5ep_int8,0.25,True,True,99.82,,83.7,,
PlantVillage,42,prune_50pct_int8,0.5,True,True,2.94,,83.7,,
PlantVillage,42,prune_50pct_ft5ep_int8,0.5,True,True,99.77,,83.7,,
PlantVillage,42,prune_75pct_int8,0.75,True,True,2.23,,83.7,,
PlantVillage,42,prune_75pct_ft5ep_int8,0.75,True,True,99.76,,83.7,,
PlantDoc,42,baseline_int8,,False,True,71.95,,83.7,,
PlantDoc,42,prune_25pct_int8,0.25,False,True,55.03,,83.66,,
PlantDoc,42,prune_50pct_int8,0.5,False,True,15.2,,83.66,,
PlantDoc,42,prune_75pct_int8,0.75,False,True,3.0,,83.66,,
ImageNet-1K,0,baseline,,False,False,81.1,,330.23,,
ImageNet-1K,0,prune_25pct,0.25,False,False,59.07,,330.23,,
ImageNet-1K,0,prune_50pct,0.5,False,False,13.26,,330.23,,
ImageNet-1K,0,prune_75pct,0.75,False,False,0.27,,330.23,,
ImageNet-1K,0,prune_25pct_ft5ep,0.25,True,False,83.49,,330.23,,
ImageNet-1K,0,prune_50pct_ft5ep,0.5,True,False,82.29,,330.23,,
ImageNet-1K,0,prune_75pct_ft5ep,0.75,True,False,81.4,,330.23,,
ImageNet-1K,0,int8_quant,,False,True,80.9,,84.38,,
Pi3B-50pics,0,baseline_fp32,,False,False,,,343,5353,495
Pi3B-50pics,0,prune_50pct_ft5ep_fp32,0.5,True,False,,,343,5326,513
Pi3B-50pics,0,baseline_int8,,False,True,,,83,3528,281
Pi3B-50pics,0,prune_50pct_ft5ep_int8,0.5,True,True,,,83,3519,278
PlantDoc,42,prune_25pct_ft5ep_int8,0.25,True,True,68.31,,
PlantDoc,42,prune_50pct_ft5ep_int8,0.5,True,True,54.39,,
PlantDoc,42,prune_75pct_ft5ep_int8,0.75,True,True,51.18,,
